"","Protein","Gene","Description","Fold_Change","p_Value"
"4394","TAPT1_MOUSE|Q4VBD2","Tapt1","Transmembrane anterior posterior transformation protein 1",-2.13,0.000693
"4395","TAU_MOUSE|P10637","Mapt","Microtubule-associated protein tau",-19.1,0.00131
"4396","TAU_MOUSE|P10637-3","Mapt","Microtubule-associated protein tau (isoform 3)",-17.1,0.000352
"4397","TAXB1_MOUSE|Q3UKC1","Tax1bp1","Tax1-binding protein 1 homolog",-3.6,0.00115
"4398","TB10A_MOUSE|P58802","Tbc1d10a","TBC1 domain family member 10A",-2.88,0.00289
"4399","TB10B_MOUSE|Q8BHL3","Tbc1d10b","TBC1 domain family member 10B",-3.58,0.00442
"4400","TB182_MOUSE|P58871","Tnks1bp1","182 kDa tankyrase-1-binding protein",-29,0.000349
"4401","TBA1A_MOUSE|P68369","Tuba1a","Tubulin alpha-1A chain",-1.62,0.00451
"4402","TBA1B_MOUSE|P05213","Tuba1b","Tubulin alpha-1B chain",-1.57,0.00203
"4403","TBA1C_MOUSE|P68373","Tuba1c","Tubulin alpha-1C chain",-1.11,0.0402
"4404","TBA3_MOUSE|P05214","Tuba3a","Tubulin alpha-3 chain",-1.64,0.00752
"4405","TBA4A_MOUSE|P68368","Tuba4a","Tubulin alpha-4A chain",-1.68,0.00377
"4406","TBA8_MOUSE|Q9JJZ2","Tuba8","Tubulin alpha-8 chain",-1.77,0.00483
"4407","TBAL3_MOUSE|Q3UX10","Tubal3","Tubulin alpha chain-like 3",-2.08,0.000784
"4408","TBB1_MOUSE|A2AQ07","Tubb1","Tubulin beta-1 chain",-1.47,0.0379
"4409","TBB2A_MOUSE|Q7TMM9","Tubb2a","Tubulin beta-2A chain",-1.67,0.00384
"4410","TBB2B_MOUSE|Q9CWF2","Tubb2b","Tubulin beta-2B chain",-1.81,0.00146
"4411","TBB3_MOUSE|Q9ERD7","Tubb3","Tubulin beta-3 chain",-1.64,0.00353
"4412","TBB4A_MOUSE|Q9D6F9","Tubb4a","Tubulin beta-4A chain",-1.56,0.00624
"4413","TBB4B_MOUSE|P68372","Tubb4b","Tubulin beta-4B chain",-1.46,0.0178
"4414","TBB5_MOUSE|P99024","Tubb5","Tubulin beta-5 chain",-1.32,0.0157
"4415","TBB6_MOUSE|Q922F4","Tubb6","Tubulin beta-6 chain",-1.14,0.37
"4416","TBC13_MOUSE|Q8R3D1","Tbc1d13","TBC1 domain family member 13",-2.12,0.00388
"4417","TBC14_MOUSE|Q8CGA2","Tbc1d14","TBC1 domain family member 14",-5.59,0.00135
"4418","TBC15_MOUSE|Q9CXF4","Tbc1d15","TBC1 domain family member 15",-2.95,0.00163
"4419","TBC17_MOUSE|Q8BYH7","Tbc1d17","TBC1 domain family member 17",-2.59,0.00103
"4420","TBC24_MOUSE|Q3UUG6","Tbc1d24","TBC1 domain family member 24",-1.89,0.00251
"4421","TBC9B_MOUSE|Q5SVR0","Tbc1d9b","TBC1 domain family member 9B",-1.85,0.00378
"4422","TBCA_MOUSE|P48428","Tbca","Tubulin-specific chaperone A",-1.06,0.278
"4423","TBCB_MOUSE|Q9D1E6","Tbcb","Tubulin-folding cofactor B",-5.57,0.00385
"4424","TBCD_MOUSE|Q8BYA0","Tbcd","Tubulin-specific chaperone D",-1.85,0.00118
"4425","TBCD4_MOUSE|Q8BYJ6","Tbc1d4","TBC1 domain family member 4",-4.6,0.00243
"4426","TBCD5_MOUSE|Q80XQ2","Tbc1d5","TBC1 domain family member 5",-4.96,0.00157
"4427","TBCE_MOUSE|Q8CIV8","Tbce","Tubulin-specific chaperone E",-2.69,0.00134
"4428","TBCK_MOUSE|Q8BM85","Tbck","TBC domain-containing protein kinase-like protein",-1.85,0.00343
"4429","TBK1_MOUSE|Q9WUN2","Tbk1","Serine/threonine-protein kinase TBK1",-1.57,0.023
"4430","TBL1R_MOUSE|Q8BHJ5","Tbl1xr1","F-box-like/WD repeat-containing protein TBL1XR1",-1.19,0.139
"4431","TBR1_MOUSE|Q64336","Tbr1","T-box brain protein 1",-2.33,5.28e-05
"4432","TCAL3_MOUSE|Q8R0A5","Tceal3","Transcription elongation factor A protein-like 3",-9.16,0.00113
"4433","TCAL5_MOUSE|Q8CCT4","Tceal5","Transcription elongation factor A protein-like 5",-10.7,0.00047
"4434","TCEA1_MOUSE|P10711","Tcea1","Transcription elongation factor A protein 1",-1.61,0.000132
"4435","TCF20_MOUSE|Q9EPQ8","Tcf20","Transcription factor 20",-6.97,0.000313
"4436","TCF25_MOUSE|Q8R3L2","Tcf25","Transcription factor 25",-3.76,0.000599
"4437","TCF25_MOUSE|Q8R3L2-2","Tcf25","Transcription factor 25 (isoform 2)",-4.4,0.00538
"4438","TCOF_MOUSE|O08784","Tcof1","Treacle protein",-11.9,0.000885
"4439","TCP4_MOUSE|P11031","Sub1","Activated RNA polymerase II transcriptional coactivator p15",-1.22,0.3
"4440","TCPA_MOUSE|P11983","Tcp1","T-complex protein 1 subunit alpha",-1.45,0.00702
"4441","TCPB_MOUSE|P80314","Cct2","T-complex protein 1 subunit beta",-1.64,0.00303
"4442","TCPD_MOUSE|P80315","Cct4","T-complex protein 1 subunit delta",-1.46,0.00523
"4443","TCPE_MOUSE|P80316","Cct5","T-complex protein 1 subunit epsilon",-3.73,0.00248
"4444","TCPG_MOUSE|P80318","Cct3","T-complex protein 1 subunit gamma",-1.41,0.00679
"4445","TCPH_MOUSE|P80313","Cct7","T-complex protein 1 subunit eta",-1.35,0.0172
"4446","TCPQ_MOUSE|P42932","Cct8","T-complex protein 1 subunit theta",-2.08,0.00359
"4447","TCPR1_MOUSE|Q80VP0","Tecpr1","Tectonin beta-propeller repeat-containing protein 1",-1.88,0.00295
"4448","TCPW_MOUSE|Q61390","Cct6b","T-complex protein 1 subunit zeta-2",-2.31,0.00122
"4449","TCPZ_MOUSE|P80317","Cct6a","T-complex protein 1 subunit zeta",-2.11,0.00103
"4450","TCRG1_MOUSE|Q8CGF7","Tcerg1","Transcription elongation regulator 1",-7.95,0.00206
"4451","TCTP_MOUSE|P63028","Tpt1","Translationally-controlled tumor protein",-2.13,0.000757
"4452","TDRD3_MOUSE|Q91W18","Tdrd3","Tudor domain-containing protein 3",-6.01,0.000473
"4453","TDRKH_MOUSE|Q80VL1","Tdrkh","Tudor and KH domain-containing protein",-6.11,0.000904
"4454","TDRP_MOUSE|Q8C5P7","Tdrp","Testis development-related protein",-4.65,0.011
"4455","TEBP_MOUSE|Q9R0Q7","Ptges3","Prostaglandin E synthase 3",-1.18,0.0393
"4456","TECR_MOUSE|Q9CY27","Tecr","Very-long-chain enoyl-CoA reductase",-1.68,0.00882
"4457","TEFF2_MOUSE|Q9QYM9","Tmeff2","Tomoregulin-2",-2.1,0.0921
"4458","TEN1_MOUSE|Q9WTS4","Tenm1","Teneurin-1",-2.12,0.000268
"4459","TEN2_MOUSE|Q9WTS5","Tenm2","Teneurin-2",-1.59,0.00168
"4460","TEN3_MOUSE|Q9WTS6","Tenm3","Teneurin-3",-2.67,0.000165
"4461","TEN4_MOUSE|Q3UHK6","Tenm4","Teneurin-4",-2.45,0.00129
"4462","TENA_MOUSE|Q80YX1","Tnc","Tenascin",-1.17,0.0673
"4463","TENR_MOUSE|Q8BYI9","Tnr","Tenascin-R",-1.42,0.0538
"4464","TENS3_MOUSE|Q5SSZ5","Tns3","Tensin-3",-1.29,0.0922
"4465","TERA_MOUSE|Q01853","Vcp","Transitional endoplasmic reticulum ATPase",-1.74,0.000473
"4466","TES_MOUSE|P47226","Tes","Testin",-1.15,0.0999
"4467","TEX2_MOUSE|Q6ZPJ0","Tex2","Testis-expressed sequence 2 protein",-7.79,0.0031
"4468","TF_MOUSE|P20352","F3","Tissue factor",-1.26,0.57
"4469","TF2AA_MOUSE|Q99PM3","Gtf2a1","Transcription initiation factor IIA subunit 1",-7.64,0.000981
"4470","TFAM_MOUSE|P40630","Tfam","Transcription factor A, mitochondrial",-1.33,0.0244
"4471","TFCP2_MOUSE|Q9ERA0","Tfcp2","Alpha-globin transcription factor CP2",-2.96,0.00479
"4472","TFE3_MOUSE|Q64092","Tfe3","Transcription factor E3",-10.9,0.00418
"4473","TFP11_MOUSE|Q9ERA6","Tfip11","Tuftelin-interacting protein 11",-3.44,0.00256
"4474","TFR1_MOUSE|Q62351","Tfrc","Transferrin receptor protein 1",-1.48,0.0251
"4475","TGFA1_MOUSE|Q3UR70","Tgfbrap1","Transforming growth factor-beta receptor-associated protein 1",-2.04,0.000453
"4476","TGO1_MOUSE|Q8BI84",NA,NA,-1.69,0.0136
"4477","TGRM1_MOUSE|Q6A070",NA,NA,-9.37,0.00093
"4478","TGS1_MOUSE|Q923W1","Tgs1","Trimethylguanosine synthase",-4.32,0.000487
"4479","THEM4_MOUSE|Q3UUI3","Them4","Acyl-coenzyme A thioesterase THEM4",-1.31,0.104
"4480","THEM6_MOUSE|Q80ZW2","Them6","Protein THEM6",-1.42,0.0617
"4481","THIC_MOUSE|Q8CAY6","Acat2","Acetyl-CoA acetyltransferase, cytosolic",-1.59,0.0613
"4482","THIKA_MOUSE|Q921H8","Acaa1a","3-ketoacyl-CoA thiolase A, peroxisomal",-1.37,0.00656
"4483","THIL_MOUSE|Q8QZT1","Acat1","Acetyl-CoA acetyltransferase, mitochondrial",-1.69,0.00366
"4484","THIM_MOUSE|Q8BWT1","Acaa2","3-ketoacyl-CoA thiolase, mitochondrial",-1.63,0.00602
"4485","THIO_MOUSE|P10639","Txn","Thioredoxin",-1.14,0.0459
"4486","THIOM_MOUSE|P97493","Txn2","Thioredoxin, mitochondrial",-1.25,0.0899
"4487","THNS1_MOUSE|Q8BH55","Thnsl1","Threonine synthase-like 1",-1.66,0.00257
"4488","THOC2_MOUSE|B1AZI6","Thoc2","THO complex subunit 2",-2.29,0.000558
"4489","THOC4_MOUSE|O08583","Alyref","THO complex subunit 4",-1.4,0.0374
"4490","THOP1_MOUSE|Q8C1A5","Thop1","Thimet oligopeptidase",-1.54,0.00371
"4491","THRB_MOUSE|P19221","F2","Prothrombin",1.01,0.982
"4492","THTM_MOUSE|Q99J99","Mpst","3-mercaptopyruvate sulfurtransferase",-1.66,0.00957
"4493","THTR_MOUSE|P52196","Tst","Thiosulfate sulfurtransferase",-1.42,0.0532
"4494","THUM1_MOUSE|Q99J36","Thumpd1","THUMP domain-containing protein 1",-3,0.00123
"4495","THUM3_MOUSE|P97770","Thumpd3","THUMP domain-containing protein 3",-6.24,0.00349
"4496","THY1_MOUSE|P01831","Thy1","Thy-1 membrane glycoprotein",-2.49,0.00348
"4497","TI17B_MOUSE|Q9Z0V7","Timm17b","Mitochondrial import inner membrane translocase subunit Tim17-B",-1.55,0.0393
"4498","TI8AB_MOUSE|Q4FZG7","Timm8a2","Putative mitochondrial import inner membrane translocase subunit Tim8 A-B",-1.31,0.106
"4499","TIA1_MOUSE|P52912","Tia1","Nucleolysin TIA-1",-1.41,0.000287
"4500","TIAM1_MOUSE|Q60610","Tiam1","T-lymphoma invasion and metastasis-inducing protein 1",-2.44,0.00138
"4501","TIAM2_MOUSE|Q6ZPF3","Tiam2","T-lymphoma invasion and metastasis-inducing protein 2",-2.74,0.00141
"4502","TIAR_MOUSE|P70318","Tial1","Nucleolysin TIAR",-1.39,0.000445
"4503","TIDC1_MOUSE|Q8BUY5","Timmdc1","Complex I assembly factor TIMMDC1, mitochondrial",-1.65,0.00255
"4504","TIF1B_MOUSE|Q62318","Trim28","Transcription intermediary factor 1-beta",-4.16,0.00142
"4505","TIGAR_MOUSE|Q8BZA9","Tigar","Fructose-2,6-bisphosphatase TIGAR",-1.84,0.0191
"4506","TIM13_MOUSE|P62075","Timm13","Mitochondrial import inner membrane translocase subunit Tim13",-1.53,0.113
"4507","TIM14_MOUSE|Q9CQV7","Dnajc19","Mitochondrial import inner membrane translocase subunit TIM14",-1.63,0.0111
"4508","TIM22_MOUSE|Q9CQ85","Timm22","Mitochondrial import inner membrane translocase subunit Tim22",-1.47,0.07
"4509","TIM29_MOUSE|Q8BGX2",NA,NA,-1.67,0.00349
"4510","TIM44_MOUSE|O35857","Timm44","Mitochondrial import inner membrane translocase subunit TIM44",-1.65,0.00442
"4511","TIM50_MOUSE|Q9D880","Timm50","Mitochondrial import inner membrane translocase subunit TIM50",-1.56,0.00947
"4512","TIM8B_MOUSE|P62077","Timm8b","Mitochondrial import inner membrane translocase subunit Tim8 B",-9.62,0.00574
"4513","TIM9_MOUSE|Q9WV98","Timm9","Mitochondrial import inner membrane translocase subunit Tim9",-1.46,0.0402
"4514","TIMP2_MOUSE|P25785","Timp2","Metalloproteinase inhibitor 2",-2.75,0.000207
"4515","TIPRL_MOUSE|Q8BH58","Tiprl","TIP41-like protein",-1.65,0.00742
"4516","TKFC_MOUSE|Q8VC30",NA,NA,-1.83,0.00213
"4517","TKT_MOUSE|P40142","Tkt","Transketolase",-1.6,0.0065
"4518","TLE3_MOUSE|Q08122","Tle3","Transducin-like enhancer protein 3",-1.73,0.00929
"4519","TLN1_MOUSE|P26039","Tln1","Talin-1",-1.03,0.995
"4520","TLN2_MOUSE|Q71LX4","Tln2","Talin-2",-2.94,0.00306
"4521","TM160_MOUSE|Q9D938","Tmem160","Transmembrane protein 160",-1.44,0.129
"4522","TM163_MOUSE|Q8C996","Tmem163","Transmembrane protein 163",-1.81,0.00773
"4523","TM169_MOUSE|Q8BG50","Tmem169","Transmembrane protein 169",-2.75,0.000388
"4524","TM1L2_MOUSE|Q5SRX1","Tom1l2","TOM1-like protein 2",-4.22,0.000469
"4525","TM201_MOUSE|A2A8U2","Tmem201","Transmembrane protein 201",-1.68,0.000357
"4526","TM230_MOUSE|Q8CIB6","Tmem230","Transmembrane protein 230",-1.56,0.0629
"4527","TM263_MOUSE|Q9DAM7","Tmem263","Transmembrane protein 263",-1.11,0.476
"4528","TM266_MOUSE|Q8BZB3",NA,NA,-4.05,0.000695
"4529","TM2D2_MOUSE|Q8R0I4","Tm2d2","TM2 domain-containing protein 2",-1.6,0.041
"4530","TM35A_MOUSE|Q9D328",NA,NA,-1.49,0.113
"4531","TM40L_MOUSE|Q9CZR3","Tomm40l","Mitochondrial import receptor subunit TOM40B",-1.44,0.038
"4532","TM55A_MOUSE|Q9CZX7","Tmem55a","Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",-1.66,0.0395
"4533","TM9S2_MOUSE|P58021","Tm9sf2","Transmembrane 9 superfamily member 2",-1.61,0.00349
"4534","TM9S3_MOUSE|Q9ET30","Tm9sf3","Transmembrane 9 superfamily member 3",-1.49,0.00217
"4535","TM9S4_MOUSE|Q8BH24","Tm9sf4","Transmembrane 9 superfamily member 4",-1.32,0.147
"4536","TMCC1_MOUSE|Q69ZZ6","Tmcc1","Transmembrane and coiled-coil domains protein 1",-6.18,0.00091
"4537","TMCC2_MOUSE|Q80W04","Tmcc2","Transmembrane and coiled-coil domains protein 2",-12.1,0.000874
"4538","TMCC3_MOUSE|Q8R310","Tmcc3","Transmembrane and coiled-coil domains protein 3",-3.97,0.000363
"4539","TMCO1_MOUSE|Q921L3","Tmco1","Transmembrane and coiled-coil domain-containing protein 1",-1.37,0.00204
"4540","TMED2_MOUSE|Q9R0Q3","Tmed2","Transmembrane emp24 domain-containing protein 2",-1.2,0.147
"4541","TMED4_MOUSE|Q8R1V4","Tmed4","Transmembrane emp24 domain-containing protein 4",-1.42,0.0189
"4542","TMED9_MOUSE|Q99KF1","Tmed9","Transmembrane emp24 domain-containing protein 9",-1.28,0.0774
"4543","TMEDA_MOUSE|Q9D1D4","Tmed10","Transmembrane emp24 domain-containing protein 10",-1.31,0.102
"4544","TMF1_MOUSE|B9EKI3","Tmf1","TATA element modulatory factor",-5.61,0.00193
"4545","TMM33_MOUSE|Q9CR67","Tmem33","Transmembrane protein 33",-1.53,0.00846
"4546","TMM9B_MOUSE|Q9JJR8","Tmem9b","Transmembrane protein 9B",-1.61,0.0604
"4547","TMOD1_MOUSE|P49813","Tmod1","Tropomodulin-1",-3.09,0.000143
"4548","TMOD2_MOUSE|Q9JKK7","Tmod2","Tropomodulin-2",-11.7,0.0012
"4549","TMPSD_MOUSE|Q5U405","Tmprss13","Transmembrane protease serine 13",-1.27,0.0464
"4550","TMX1_MOUSE|Q8VBT0","Tmx1","Thioredoxin-related transmembrane protein 1",-1.73,0.00641
"4551","TMX2_MOUSE|Q9D710","Tmx2","Thioredoxin-related transmembrane protein 2",-1.45,0.0317
"4552","TMX3_MOUSE|Q8BXZ1","Tmx3","Protein disulfide-isomerase TMX3",-1.85,0.00582
"4553","TMX4_MOUSE|Q8C0L0","Tmx4","Thioredoxin-related transmembrane protein 4",-1.75,0.0144
"4554","TNIK_MOUSE|P83510","Tnik","Traf2 and NCK-interacting protein kinase",-3.91,0.00139
"4555","TNPO1_MOUSE|Q8BFY9","Tnpo1","Transportin-1",-1.28,0.0218
"4556","TNPO2_MOUSE|Q99LG2","Tnpo2","Transportin-2",-2.36,0.00197
"4557","TNPO3_MOUSE|Q6P2B1","Tnpo3","Transportin-3",-1.66,0.000311
"4558","TNR6A_MOUSE|Q3UHK8","Tnrc6a","Trinucleotide repeat-containing gene 6A protein",-14,0.00159
"4559","TNR6B_MOUSE|Q8BKI2","Tnrc6b","Trinucleotide repeat-containing gene 6B protein",-24.6,0.000671
"4560","TNR6C_MOUSE|Q3UHC0","Tnrc6c","Trinucleotide repeat-containing gene 6C protein",-10.7,0.000171
"4561","TNS2_MOUSE|Q8CGB6",NA,NA,1.09,0.429
"4562","TOLIP_MOUSE|Q9QZ06","Tollip","Toll-interacting protein",-1.34,0.116
"4563","TOM1_MOUSE|O88746","Tom1","Target of Myb protein 1",-5.04,0.00102
"4564","TOM20_MOUSE|Q9DCC8","Tomm20","Mitochondrial import receptor subunit TOM20 homolog",-1.42,0.00545
"4565","TOM22_MOUSE|Q9CPQ3","Tomm22","Mitochondrial import receptor subunit TOM22 homolog",-2.15,0.00965
"4566","TOM34_MOUSE|Q9CYG7","Tomm34","Mitochondrial import receptor subunit TOM34",-2.28,0.000176
"4567","TOM40_MOUSE|Q9QYA2","Tomm40","Mitochondrial import receptor subunit TOM40 homolog",-1.23,0.222
"4568","TOM70_MOUSE|Q9CZW5","Tomm70a","Mitochondrial import receptor subunit TOM70",-1.72,0.00465
"4569","TOP1_MOUSE|Q04750","Top1","DNA topoisomerase 1",-1.99,1.33e-05
"4570","TOP2A_MOUSE|Q01320","Top2a","DNA topoisomerase 2-alpha",-1.76,0.000376
"4571","TOP2B_MOUSE|Q64511","Top2b","DNA topoisomerase 2-beta",-2.04,0.00225
"4572","TOP3B_MOUSE|Q9Z321","Top3b","DNA topoisomerase 3-beta-1",-2.45,0.00392
"4573","TP4A1_MOUSE|Q63739","Ptp4a1","Protein tyrosine phosphatase type IVA 1",-1.69,0.00283
"4574","TP53B_MOUSE|P70399","Tp53bp1","Tumor suppressor p53-binding protein 1",-5.54,0.00379
"4575","TP8L3_MOUSE|Q3TBL6","Tnfaip8l3","Tumor necrosis factor alpha-induced protein 8-like protein 3",-2.07,0.00016
"4576","TPC10_MOUSE|Q3TLI0","Trappc10","Trafficking protein particle complex subunit 10",-1.69,0.00134
"4577","TPC11_MOUSE|B2RXC1","Trappc11","Trafficking protein particle complex subunit 11",-1.7,0.00303
"4578","TPC12_MOUSE|Q8K2L8","Trappc12","Trafficking protein particle complex subunit 12",-3.57,0.00222
"4579","TPC2L_MOUSE|Q9JME7","Trappc2l","Trafficking protein particle complex subunit 2-like protein",-1,0.773
"4580","TPD52_MOUSE|Q62393","Tpd52","Tumor protein D52",-5.35,0.0029
"4581","TPD54_MOUSE|Q9CYZ2","Tpd52l2","Tumor protein D54",-3.23,0.00131
"4582","TPIS_MOUSE|P17751","Tpi1","Triosephosphate isomerase",-1.16,0.0792
"4583","TPM1_MOUSE|P58771","Tpm1","Tropomyosin alpha-1 chain",-1.34,0.00452
"4584","TPM2_MOUSE|P58774","Tpm2","Tropomyosin beta chain",1.01,0.546
"4585","TPM3_MOUSE|P21107","Tpm3","Tropomyosin alpha-3 chain",-1.22,0.000548
"4586","TPM3_MOUSE|P21107-2","Tpm3","Tropomyosin alpha-3 chain (isoform 2)",-1.17,0.000153
"4587","TPM4_MOUSE|Q6IRU2","Tpm4","Tropomyosin alpha-4 chain",-1.05,0.182
"4588","TPP2_MOUSE|Q64514","Tpp2","Tripeptidyl-peptidase 2",-1.6,0.00269
"4589","TPPC5_MOUSE|Q9CQA1","Trappc5","Trafficking protein particle complex subunit 5",-2.25,0.0126
"4590","TPPC9_MOUSE|Q3U0M1","Trappc9","Trafficking protein particle complex subunit 9",-2.11,0.00536
"4591","TPPP_MOUSE|Q7TQD2","Tppp","Tubulin polymerization-promoting protein",-7.42,0.000502
"4592","TPPP3_MOUSE|Q9CRB6","Tppp3","Tubulin polymerization-promoting protein family member 3",-9.21,0.00181
"4593","TPR_MOUSE|F6ZDS4","Tpr","Nucleoprotein TPR",-4.83,0.00129
"4594","TPRGL_MOUSE|Q9DBS2","Tprg1l","Tumor protein p63-regulated gene 1-like protein",-1.7,0.00613
"4595","TR112_MOUSE|Q9DCG9","Trmt112","Multifunctional methyltransferase subunit TRM112-like protein",-1.01,0.862
"4596","TR150_MOUSE|Q569Z6","Thrap3","Thyroid hormone receptor-associated protein 3",-14.3,0.00118
"4597","TRA2B_MOUSE|P62996","Tra2b","Transformer-2 protein homolog beta",-1.01,0.885
"4598","TRAF3_MOUSE|Q60803","Traf3","TNF receptor-associated factor 3",-2.06,0.000979
"4599","TRAK1_MOUSE|Q6PD31","Trak1","Trafficking kinesin-binding protein 1",-9.3,0.00201
"4600","TRAP1_MOUSE|Q9CQN1","Trap1","Heat shock protein 75 kDa, mitochondrial",-1.47,0.00683
"4601","TREF1_MOUSE|Q8BXJ2","Trerf1","Transcriptional-regulating factor 1",-3.43,0.00104
"4602","TRFE_MOUSE|Q921I1","Tf","Serotransferrin",-1.22,0.21
"4603","TRI32_MOUSE|Q8CH72","Trim32","E3 ubiquitin-protein ligase TRIM32",-1.68,0.00284
"4604","TRI33_MOUSE|Q99PP7","Trim33","E3 ubiquitin-protein ligase TRIM33",-2.47,0.000152
"4605","TRI46_MOUSE|Q7TNM2","Trim46","Tripartite motif-containing protein 46",-1.81,0.000415
"4606","TRIM2_MOUSE|Q9ESN6","Trim2","Tripartite motif-containing protein 2",-1.85,0.000661
"4607","TRIM3_MOUSE|Q9R1R2","Trim3","Tripartite motif-containing protein 3",-1.88,0.000429
"4608","TRIM9_MOUSE|Q8C7M3","Trim9","E3 ubiquitin-protein ligase TRIM9",-4.76,0.000657
"4609","TRIO_MOUSE|Q0KL02","Trio","Triple functional domain protein",-2.88,0.00144
"4610","TRIP4_MOUSE|Q9QXN3","Trip4","Activating signal cointegrator 1",-6.24,0.00272
"4611","TRIPC_MOUSE|G5E870","Trip12","E3 ubiquitin-protein ligase TRIP12",-2,0.000393
"4612","TRM6_MOUSE|Q8CE96","Trmt6","tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6",-1.33,0.019
"4613","TRNT1_MOUSE|Q8K1J6","Trnt1","CCA tRNA nucleotidyltransferase 1, mitochondrial",-1.71,0.00327
"4614","TRPV2_MOUSE|Q9WTR1","Trpv2","Transient receptor potential cation channel subfamily V member 2",-2.14,0.00234
"4615","TRXR1_MOUSE|Q9JMH6","Txnrd1","Thioredoxin reductase 1, cytoplasmic",-1.24,0.0467
"4616","TS101_MOUSE|Q61187","Tsg101","Tumor susceptibility gene 101 protein",-2.16,0.000469
"4617","TSC1_MOUSE|Q9EP53","Tsc1","Hamartin",-6.37,0.00252
"4618","TSC2_MOUSE|Q61037","Tsc2","Tuberin",-2.24,0.000622
"4619","TSC2_MOUSE|Q61037-6","Tsc2","Tuberin (isoform 6)",-2.15,0.00117
"4620","TSN_MOUSE|Q62348","Tsn","Translin",-1.24,0.17
"4621","TSN15_MOUSE|F7BWT7","Tspan15","Tetraspanin-15",-1.26,0.458
"4622","TSN2_MOUSE|Q922J6","Tspan2","Tetraspanin-2",-1.52,0.351
"4623","TSN7_MOUSE|Q62283","Tspan7","Tetraspanin-7",-1.22,0.694
"4624","TSNAX_MOUSE|Q9QZE7","Tsnax","Translin-associated protein X",-1.62,0.00648
"4625","TSP1_MOUSE|P35441","Thbs1","Thrombospondin-1",1.1,0.021
"4626","TSP4_MOUSE|Q9Z1T2","Thbs4","Thrombospondin-4",-1.12,0.334
"4627","TSSC1_MOUSE|Q8K0G5","Tssc1","Protein TSSC1",-1.53,0.0116
"4628","TT39C_MOUSE|Q8VE09","Ttc39c","Tetratricopeptide repeat protein 39C",-1.74,0.000669
"4629","TTBK1_MOUSE|Q6PCN3","Ttbk1","Tau-tubulin kinase 1",-5.17,0.000648
"4630","TTBK2_MOUSE|Q3UVR3","Ttbk2","Tau-tubulin kinase 2",-5.79,0.000958
"4631","TTC1_MOUSE|Q91Z38","Ttc1","Tetratricopeptide repeat protein 1",-8.07,0.00106
"4632","TTC19_MOUSE|Q8CC21","Ttc19","Tetratricopeptide repeat protein 19, mitochondrial",-1.63,0.00536
"4633","TTC28_MOUSE|Q80XJ3","Ttc28","Tetratricopeptide repeat protein 28",-3.17,0.000772
"4634","TTC3_MOUSE|O88196","Ttc3","E3 ubiquitin-protein ligase TTC3",-2.76,0.00451
"4635","TTC7B_MOUSE|E9Q6P5",NA,NA,-2.04,0.00104
"4636","TTC9A_MOUSE|Q3V038","Ttc9","Tetratricopeptide repeat protein 9A",-2.86,0.000542
"4637","TTC9B_MOUSE|Q9D6E4","Ttc9b","Tetratricopeptide repeat protein 9B",-1.82,0.00105
"4638","TTL_MOUSE|P38585","Ttl","Tubulin--tyrosine ligase",-1.78,0.000768
"4639","TTL12_MOUSE|Q3UDE2","Ttll12","Tubulin--tyrosine ligase-like protein 12",-1.69,0.00108
"4640","TTYH1_MOUSE|Q9D3A9","Ttyh1","Protein tweety homolog 1",-1.6,0.00183
"4641","TTYH3_MOUSE|Q6P5F7","Ttyh3","Protein tweety homolog 3",-1.38,0.0853
"4642","TUB_MOUSE|P50586","Tub","Tubby protein",-2.85,0.00103
"4643","TULP4_MOUSE|Q9JIL5","Tulp4","Tubby-related protein 4",-2.7,1.37e-05
"4644","TUSC3_MOUSE|Q8BTV1","Tusc3","Tumor suppressor candidate 3",-1.66,0.00168
"4645","TUT4_MOUSE|B2RX14","Zcchc11","Terminal uridylyltransferase 4",-1.34,0.0333
"4646","TUT7_MOUSE|Q5BLK4","Zcchc6","Terminal uridylyltransferase 7",-2.27,0.000811
"4647","TUTLB_MOUSE|E9PZ19",NA,NA,-6.93,0.000381
"4648","TWF1_MOUSE|Q91YR1","Twf1","Twinfilin-1",-1.44,0.0516
"4649","TWF2_MOUSE|Q9Z0P5","Twf2","Twinfilin-2",-2.12,0.00817
"4650","TXD12_MOUSE|Q9CQU0","Txndc12","Thioredoxin domain-containing protein 12",-1.11,0.00856
"4651","TXLNA_MOUSE|Q6PAM1","Txlna","Alpha-taxilin",-2.4,0.0109
"4652","TXND5_MOUSE|Q91W90","Txndc5","Thioredoxin domain-containing protein 5",-1.05,0.59
"4653","TXNL1_MOUSE|Q8CDN6","Txnl1","Thioredoxin-like protein 1",-2.4,0.00377
"4654","TXTP_MOUSE|Q8JZU2","Slc25a1","Tricarboxylate transport protein, mitochondrial",-1.33,0.0588
"4655","TY3H_MOUSE|P24529","Th","Tyrosine 3-monooxygenase",-2.33,0.00557
"4656","U2AF1_MOUSE|Q9D883","U2af1","Splicing factor U2AF 35 kDa subunit",-1.21,0.00611
"4657","U2AF2_MOUSE|P26369","U2af2","Splicing factor U2AF 65 kDa subunit",-1.98,0.003
